Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
Give & Take,11,"Ann Arbor, MI",Privately Held (backing),"Developer of software designed to help organizations build a culture of generosity at work, leading to better employee engagement and productivity. The company's software application applies the concepts of generalized reciprocity to enterprises in an accessible, scalable way, in order to improve knowledge sharing, boost social capital, foster a giving culture, drive better business outcomes and capture organizational memory, enabling businesses to increase employee efficiency, productivity, retention, and engagement","HR Tech, Mobile, TMT",Information Technology,Software,28-Mar-19,Seed Round,Seed Round,4.21,8.6,4.21,3,"Grand Ventures, Invest Michigan, RPM Ventures",www.giveandtakeinc.com
Cylera,11,"New York, NY",Privately Held (backing),"Provider of a cybersecurity and analytics platform intended to protect healthcare organizations and their patients from cyber-based threats. The company's platform provides machine learning-powered services to defend from cyber attacks, including zero-day exploits, data breaches and ransomware, enabling healthcare organizations to defend and manage their devices as well as connected clinical environments that are critical to providing safe and continuous patient care.","Artificial Intelligence & Machine Learning, Cybersecurity, TMT",Information Technology,Software,4-Sep-18,Seed Round,Seed Round,4.25,16.25,5.5,7,"Contour Venture Partners, DreamIt Ventures, Great Oaks Venture Capital, Maverick Ventures, Red Bear Angels, Samsung NEXT Ventures, Two Sigma Ventures",www.cylera.com
Kaleidoscope Group,11,"Minneapolis, MN",Privately Held (backing),"Developer of cloud software platform created for administering scholarship programs. The company's cloud software platform helps visionary organizations and advocates fund the next generation of leaders, artists, entrepreneurs, coaches, doctors through scholarship programs, enabling them to supports each funder's unique scholarship program design, creating access through low administrative cost and student choice through innovative and impactful program design solutions.","SaaS, TMT",Business Products and Services (B2B),Commercial Services,15-Jan-19,Seed Round,Seed Round,2,10,3.81,4,"gener8tor, GoKart Labs, Gopher Angels, Yono Ventures",www.mykaleidoscope.com
Plus One Robotics,11,"San Antonio, TX",Privately Held (backing),"Developer of a 3D vision and control software designed to help in robotic automation in the logistics and e-commerce markets. The company's control system identifies the 6-DoF pick pose of parcels in an accumulation chute and sends the pose to their robot to pick, as well as places each parcel onto an induction conveyor and verifies placement and addresses errors by issuing robot commands to re-position errant parcels, enabling personnel to generate pick commands much faster than alternatives, improve customer service driven by predictable sortation accuracy and reduction in downstream verification and return handling.","Robotics and Drones, TMT",Information Technology,Computer Hardware,19-Sep-18,Early Stage VC,Series A,8.3,32.8,10.65,7,"Dynamo, ff Venture Capital, First Star Ventures, Lerer Hippeau, Pritzker Group Venture Capital, Schematic Ventures, Zebra Technologies",www.plusonerobotics.com
Ogee,11,"Burlington, VT",Privately Held (backing),"Provider of a high growth luxury organic skincare and makeup brand founded by insiders from global beauty and luxury fashion. The company's products combine trusted ingredients, such as American grown, cold-pressed and organic Jojoba Oil with the newest, naturally scientific skincare discoveries, delivering clinical results and consumer delight.",Beauty,Consumer Products and Services (B2C),Consumer Non-Durables,2-Jan-19,Later Stage VC,,,,1.65,5,"CEI Ventures, FreePressMedia, FreshTracks Capital, Lake Champlain Chamber of Commerce, LaunchVT",www.ogee.com
Lambda School,11,"San Ramon, CA",Privately Held (backing),"Provider of computer science education and training services intended to help students learn coding and get placed in IT firms. The company's services are offered via online classes that bear no upfront costs as one pays only after being placed and the courses mainly include online full stack coding and web development programs, machine learning, artificial intelligence and computer engineering boot camps, enabling students to gain hands-on training and computer engineering skills and to find placement opportunities in reputed companies.",EdTech,Consumer Products and Services (B2C),Services (Non-Financial),18-Dec-18,Early Stage VC,Series B,30,150,48.12,19,"Bedrock, Gelt Venture Capital, GGV Capital, GV, Hemisphere Ventures, Imagine K12, Liquid 2 Ventures, Outbound Ventures, S2 Capital, Social Starts, Soma Capital, Sound Ventures, Stripe, Tandem Capital, TSVC, Tyler Willis, Vy Capital, Y Combinator, Zillionize",www.lambdaschool.com
Membrion,11,"Seattle, WA",Privately Held (backing),"Developer of a membrane technology created to create clean water and accessible renewable energy The company's technology transforms silica gel into a low-cost high-performance filter for molecules that solves longstanding challenges in water desalination, chemical processing, battery operation, and pharmaceutical development at low cost, enabling business to improve battery storage with a lower cost, improved battery with high-performance ion exchange membranes.","CleanTech, LOHAS & Wellness, TMT",Energy,Energy Services,30-Nov-18,Seed Round,Seed Round,2.23,6.23,2.26,14,"Amazon Catalyst grant, Bellingham Angel Investors, Clean Energy Institute, E8, Foster School Of Business, Jones + Foster Accelerator, MJ Murdock Charitable Trust, National Science Foundation, Rice Business Plan Competition, Rocket Venture Fund, Sand Hill Angels, Sierra Angels, Small Business Innovative Research Grant, UW CoMotion",www.membrion.com
Mammoth Biosciences,11,"San Francisco, CA",Privately Held (backing),"Provider of a disease detection platform intended to offer diagnostic facilities. The company's platform uses Crispr technology to pick up bits of genetic material circulating in blood and hunt disease causing DNA, enabling the clients to detect diseases early and diagnose the same.","Life Sciences, TMT",Healthcare,Pharmaceuticals and Biotechnology,23-Aug-18,Early Stage VC,,7.41,,23.12,14,"8VC, AME Cloud Ventures, Boom Capital Ventures, Digital Horizon Capital, JLABS, Kairos Society, Mayfield Fund, Mission Bay Capital, NFX, Pacific 8 Ventures, Plug and Play Tech Center, Plum Alley Investments, Timothy Cook, Wireframe Ventures",www.mammoth.bio
Ketos,11,"San Jose, CA",Privately Held (backing),"Provider of actionable water analytics platform intended to drive a global impact with water management and safety. The company's analytics platform is an end-to-end solution that includes innovative hardware, smart IoT connectivity options with secure data, showcasing real time insights of water usage, leaks and quality amongst several other metrics, enabling users to enhance health care, mitigate food security risks and proactively solve real-world water issues with real-time analytics.","Artificial Intelligence & Machine Learning, Big Data, Impact Investing, Internet of Things, SaaS, TMT",Consumer Products and Services (B2C),Other Consumer Products and Services,5-Feb-19,Early Stage VC,Series A,9,31,11.7,7,"Better Ventures, Broadway Angels, Energy Innovation: Policy and Technology, ONE WORLD, Plum Alley Investments, Rethink, Rethink Impact",www.ketos.co
Akash Systems,11,"San Francisco, CA",Privately Held (backing),"Developer and supplier of next generation of small satellites. The company offers small satellite (Cubesat) systems and subsystems satellite communications using gallium nitride (GaN)-on-Diamond technology, enabling smaller, lighter and higher performing satellites to lower launch costs, reduced cost-per-bit, launch cycles and increased communications access.","Space Technology, TMT",Information Technology,Other Information Technology,30-Jan-18,Seed Round,Seed Round,3.1,15.1,3.1,8,"Backstage Capital, BoomStartup, Data Collective, Hemisphere Ventures, Khosla Ventures, Ruvento Ventures, Social Capital, Sriram Krishnan",www.akashsystems.com
Opsani,11,"Redwood City, CA",Privately Held (backing),"Provider of machine learning-driven autonomous operations intended to optimize resource assignments and configuration settings. The company's continuous optimization SaaS service help operations update resources and settings as soon as new software is released, enabling users to improve application performance, reduce cost and drive up reliability.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,30-May-18,Seed Round,Seed Round,3.92,11.92,3.92,1,Zetta Venture Partners,www.opsani.com
Tignis,11,"Seattle, WA",Privately Held (backing),"Developer of predictive and proactive support technologies designed to capitalize on the profound advantages of real-time edge computing. The company's technologies monitor performance data while products are in use, quickly identify performance issues and proactively predict problems before the occurrence, enabling hardware and software vendors to monetize the IoT connectivity of their components and rapidly launch revenue-generating remote monitoring and proactive maintenance services with minimal risk and upfront cost.","Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, Internet of Things, SaaS, TMT",Information Technology,Software,10-May-19,Seed Round,Seed Round,4.65,19.65,7.41,1,Engineering Capital,www.tignis.com
Capillary Biomedical,11,"Irvine, CA",Privately Held (backing),"Developer a medical device intended to simplify insulin delivery and reduce the burden of diabetes on patients and the healthcare system. The company's device is designed to improve the reliability and comfort of insulin delivery via a kink-proof, flexible, multiport cannula. It also has simple one-handed insertion and a user-friendly design enabling those with diabetes to reliably achieve improved blood glucose control.",,Healthcare,Healthcare Devices and Supplies,31-Jan-19,Seed Round,Seed Round,1.1,8.7,4.1,11,"ACE Fund, AngelFire Ventures, HBS Alumni Angels New York, Juvenile Diabetes Research Foundation, Mass Medical Angels, New York Angels, Pasadena Angels, Small Business Innovation Research, Tech Coast Angels, The Cove Fund, U.S. Department of Health and Human Services",www.capillarybio.com
